state,state_name,rank1,rank2,rank3
AL,Alabama,"Good People Snake Handler (Double IPA, 10%)","Trim Tab Paradise Now (Berliner Weisse, 5.2%)","Straight To Ale Monkeynaut (American IPA, 7.2%)"
AK,Alaska,"Alaskan Smoked Porter (Smoked Porter, 6.5%)","Anchorage Bitter Monk (Belgian-style Double IPA, 9%)","Midnight Sun Arctic Devil Barleywine (English-style Barleywine, 13.2%)"
AR,Arkansas,"Ozark BDCS (Bourbon Barrel Aged Imperial Milk Stout, 10%)",N/A,N/A
AZ,Arizona,"Wren House Spellbinder (IPA, 6.5%)","Lochiel Scotch Ale (Scotch Ale, 8.5%)","Arizona Wilderness Terroir Project AZ (American Wild Ale, 9.9%)"
CA,California,"Firestone Walker Pivo Pils (Pilsner, 5.2%)","Sierra Nevada Pale Ale (American-style Pale Ale, 5.6%)","Russian River Pliny the Elder (American-style Double IPA, 8%)"
CO,Colorado,"New Belgium La Folie (Sour, 7%)","Bierstadt Slow Pour (Pilsner, 5.1%)","Weldwerks Juicy Bits (IPA, 6.7%)"
CT,Connecticut,"New England Brewing Co. Fuzzy Baby Ducks (IPA, 6.2%)","Kent Falls Danny Boy (Pilsner, 4.9%)","OEC Brewing Nepenthes (Saison, 5.5%)"
DE,Delaware,"Dogfish Head 90 Minute IPA (American Imperial India Pale Ale, 9%)",N/A,N/A
FL,Florida,"Green Bench Sunshine City  (IPA, 6.8%)","Cigar City Jai Alai (IPA, 7.5%)",N/A
GA,Georgia,"Creature Comforts Tropicália (American IPA, 6.6%)","SweetWater 420 Extra Pale Ale (Extra Pale Ale, 5.7%)","Wild Heaven Emergency Drinking Beer (Pilsner, 4.4%)"
HI,Hawaii,"Maui Brewing Imperial Coconut Porter (Imperial Porter, 9%)","Big Island Brewhaus White Mountain Porter (Coffee Porter, 5.8%)","Lanikai Brewing Route 70 Saison (Saison, 7%)"
ID,Idaho,"Grand Teton Double Vision Doppelbock (German Doppelbock, 11%)","Payette 12 Gauge Imperial Stout (American Imperial Stout, 10%)","Barbarian Elixir Of The Gods (Belgian Quadrupel, 12%)"
IL,Illinois,"Goose Island Bourbon County Brand Stout (Imperial Stout, 14.5%)","Pipeworks Brewing Company Ninja Vs. Unicorn (Double IPA, 8%)","Mikerphone Brewing Mikerphone Check 1, 2 (New England IPA, 8%)"
IN,Indiana,"3 Floyds Brewing Co. Marshmallow Handjee (Russian Imperial Stout, 15%)","Upland Brewing Company Pawpaw (Barrel-aged Fruited Sour Ale, 6.4 - 6.7% )","Sun King Brewing Company Velvet Fog (Belgian Quad, 11.6%)"
IA,Iowa,"Toppling Goliath Brewing Company Kentucky Brunch Brand Stout (Imperial Stout, 13%)","515 Brewing Company Passé (American Pale Ale, 5.9%)","Pulpit Rock Brewing Company Loopy Lynn (Double IPA, 8.14%)"
KS,Kansas,"Defiance Brewing Co. Awesomeness (Double IPA, 8%)","Free State Brewing Co. Old Backus Barleywine (Barleywine, 10%)",N/A
KY,Kentucky,"Against The Grain 35K (American Milk Stout, 7%)","Lexington Brewing Kentucky Bourbon Ale (Irish Red Ale, 8.2%)",N/A
LA,Louisiana,"Abita Amber (Munich style lager, 4.5%)","Dixie Lager (American Lager, 4.6%)","Parish Brewing Ghost The Machine (Double IPA, 8%)"
ME,Maine,"Allagash Coolship Red (Lambic, 6.7%)","Maine Beer Lunch (IPA, 7%)","Mast Landing Gunner’s Daughter (Stout Imperial/Double Milk, 10%)"
MD,Maryland,"National Bohemian ‘Natty Boh’ (American Lager, 4.28%)","Heavy Seas Loose Cannon (American India Pale Ale, 7.25%)","Union Duckpin (Pale Ale, 5.5%)"
